index,paras,windows,sl_name,fe_name,method,mean_validation_score
0,{'n_neighbors': 8},0,Identity,PCA1,KNN,0.9888369678089304
1,{'n_neighbors': 20},0,Identity,PCA1,KNN,0.9885773624091381
2,{'n_neighbors': 26},0,Identity,PCA1,KNN,0.98851246105919
3,{'n_neighbors': 14},0,Identity,PCA1,KNN,0.9883826583592938
4,{'n_neighbors': 2},0,Identity,PCA1,KNN,0.9820223260643821
0,"{'priors': array([0.78589045, 0.21410955])}",0,Identity,PCA1,NB,0.9597611630321911
1,"{'priors': [0.5, 0.5]}",0,Identity,PCA1,NB,0.9464563862928349
0,{'alpha': 1e-05},0,Identity,PCA1,Perceptron,0.9074506749740394
1,{'alpha': 0.0031622776601683794},0,Identity,PCA1,Perceptron,0.8974558670820353
2,{'alpha': 0.05623413251903491},0,Identity,PCA1,Perceptron,0.8970015576323987
3,{'alpha': 0.00017782794100389227},0,Identity,PCA1,Perceptron,0.8482606438213914
4,{'alpha': 1.0},0,Identity,PCA1,Perceptron,0.8065290758047767
0,{'max_depth': 7},0,Identity,PCA1,DT,0.9878634475597092
1,{'max_depth': 9},0,Identity,PCA1,DT,0.9870197300103842
2,{'max_depth': 5},0,Identity,PCA1,DT,0.9864356178608515
3,{'max_depth': 11},0,Identity,PCA1,DT,0.9864356178608515
4,{'max_depth': 3},0,Identity,PCA1,DT,0.9765057113187954
5,{'max_depth': 1},0,Identity,PCA1,DT,0.9545041536863966
0,{'n_neighbors': 8},0,Identity,PCA2,KNN,0.9888369678089304
1,{'n_neighbors': 20},0,Identity,PCA2,KNN,0.9885773624091381
2,{'n_neighbors': 26},0,Identity,PCA2,KNN,0.98851246105919
3,{'n_neighbors': 14},0,Identity,PCA2,KNN,0.9883826583592938
4,{'n_neighbors': 2},0,Identity,PCA2,KNN,0.9820223260643821
0,"{'priors': array([0.78589045, 0.21410955])}",0,Identity,PCA2,NB,0.9597611630321911
1,"{'priors': [0.5, 0.5]}",0,Identity,PCA2,NB,0.9464563862928349
0,{'alpha': 1e-05},0,Identity,PCA2,Perceptron,0.9074506749740394
